Data is Unweighted,,,Q1. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2.,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,"Have you had any training, learning or development (paid for or provided by your organisation) in the following areas?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To what extent do you agree or disagree with the following statements? My training, learning and development has helped me to.... ",,,,,,,,,,,,,,,,,,
"This sheet contains questions relating to: types, areas and job-relevance of training, learning and development",,,a) Health and safety training,,,,,b) Equality and diversity training,,,,,"c) How to prevent or handle violence and aggression to staff, patients / service users.",,,,,"d) Infection control (e.g. Guidance on handwashing, MRSA, waste management, disposal of sharps/needles)",,,,,e) How to handle confidential information about patients / service users.,,,,,f) How to deliver a good patient / service user experience,,,,,"g) Any other job-relevant training, learning or development",,,,,a)...do my job more effectively,,,,,,b)...stay up-to-date with professional requirements,,,,,,c)...deliver a better patient / service user experience,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),
RJD,Mid Staffordshire NHS Foundation Trust,Q34,85,9,5,1,453,73,13,12,2,451,41,21,28,10,447,83,8,6,3,459,79,10,8,2,453,72,8,16,5,452,76,9,15,0,441,5,5,26,48,17,462,5,4,20,50,21,451,5,5,26,47,17,450,
RXF,Mid Yorkshire Hospitals NHS Trust,Q32,76,20,3,1,385,53,41,5,1,382,26,46,20,9,373,77,16,4,4,385,72,22,4,2,380,39,25,28,8,374,76,14,9,2,370,5,6,27,49,12,388,6,4,18,54,19,387,6,4,30,47,13,386,
RD8,Milton Keynes Hospital NHS Foundation Trust,Q38,76,18,5,1,374,70,26,4,0,376,46,33,16,5,371,80,16,2,2,376,79,15,4,2,377,42,19,27,12,367,71,12,12,5,364,4,8,21,52,15,377,5,5,15,57,19,378,5,8,23,51,14,372,
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,Q35,93,6,0,0,563,88,9,3,0,558,36,33,22,9,556,93,6,1,0,561,90,7,3,1,561,60,20,15,5,552,87,5,7,1,555,5,7,24,48,16,561,5,3,17,57,18,561,5,8,27,47,13,557,
RVJ,North Bristol NHS Trust,Q39,74,22,3,0,431,38,35,23,4,421,37,37,19,7,427,74,23,2,2,432,43,35,17,5,427,32,20,40,9,422,79,12,9,0,430,5,8,23,50,14,433,6,7,15,52,20,439,6,9,26,45,14,430,
RNL,North Cumbria University Hospitals NHS Trust,Q31,73,20,6,1,416,63,26,10,1,411,36,26,31,7,401,61,21,9,8,410,70,20,8,2,411,40,19,35,6,394,66,16,17,1,402,7,9,31,44,10,408,7,6,22,54,11,411,7,10,37,37,9,401,
RAP,North Middlesex University Hospital NHS Trust,Q36,65,26,8,1,376,54,33,12,0,361,36,29,32,3,359,67,21,8,5,365,65,26,7,2,368,51,28,17,5,363,70,16,12,2,370,6,4,22,49,20,370,7,4,13,53,24,371,7,3,22,47,22,367,
RVW,North Tees and Hartlepool NHS Foundation Trust,Q30,78,19,3,0,456,55,34,9,2,436,36,36,16,12,432,93,6,0,0,454,78,17,2,2,448,46,22,21,12,433,71,16,11,2,426,7,5,22,49,18,453,8,4,14,54,19,454,6,7,24,47,16,450,
RV8,North West London Hospitals NHS Trust,Q36,69,20,10,0,213,38,43,17,1,212,24,29,40,7,209,66,19,8,8,212,72,17,10,1,211,41,23,30,6,212,72,11,16,1,208,11,5,16,49,20,211,11,4,13,48,25,211,10,8,18,43,22,210,
RNS,Northampton General Hospital NHS Trust,Q33,63,29,8,0,380,62,31,7,0,383,37,35,22,6,381,79,16,4,2,382,67,23,7,2,384,38,20,33,8,381,71,13,14,2,375,7,9,23,45,16,379,6,6,15,53,19,383,6,9,26,46,13,376,
RBZ,Northern Devon Healthcare NHS Trust,Q39,81,15,4,0,473,69,25,6,1,465,37,38,18,6,455,79,16,3,3,469,69,21,7,3,466,50,21,23,6,453,80,9,10,1,456,5,7,21,52,14,467,7,5,12,56,20,467,5,8,22,52,14,462,
RJL,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,Q32,61,26,12,2,231,41,22,32,4,225,27,34,28,10,230,65,16,9,9,232,79,13,7,2,239,29,19,40,13,227,77,9,12,2,227,7,6,26,50,11,240,7,5,19,55,14,240,6,6,28,49,11,239,
RTF,Northumbria Healthcare NHS Foundation Trust,Q30,83,13,3,1,569,62,28,8,2,557,37,30,24,8,556,88,8,2,1,569,86,10,3,1,567,55,19,21,5,553,83,8,7,2,553,5,6,21,53,15,566,6,5,15,55,18,571,6,7,20,51,16,560,
RX1,Nottingham University Hospitals NHS Trust,Q33,73,22,5,0,308,45,35,18,3,303,43,38,13,6,303,80,16,2,2,308,84,9,5,3,307,49,22,19,10,303,76,14,8,2,302,4,6,20,50,19,309,6,5,14,51,24,308,4,4,25,48,19,307,
RTH,Oxford University Hospitals NHS Trust,Q38,83,10,5,1,378,83,10,6,1,378,32,24,32,13,371,83,9,3,5,379,81,10,6,3,379,49,16,27,7,374,79,7,12,2,377,6,11,26,43,15,379,7,7,13,54,20,379,6,10,25,46,13,377,
RW6,Pennine Acute Hospitals NHS Trust,Q31,78,17,4,1,362,70,18,10,1,361,30,32,29,8,358,90,7,2,2,364,83,11,4,2,366,44,18,29,8,356,79,10,11,1,356,8,6,23,44,19,370,7,6,17,50,21,369,7,7,26,45,15,363,
RGN,Peterborough and Stamford Hospitals NHS Foundation Trust,Q35,69,21,10,1,423,43,25,30,2,417,20,29,42,10,425,70,16,8,6,425,70,20,10,1,426,34,21,37,8,419,74,13,13,1,421,4,4,20,56,16,425,3,4,15,57,21,418,3,6,26,47,16,420,
RK9,Plymouth Hospitals NHS Trust,Q39,79,14,7,0,366,64,20,14,2,357,37,19,36,8,356,76,12,6,6,363,78,12,8,2,364,55,13,26,5,355,77,8,13,2,359,5,9,29,41,16,365,6,8,18,52,15,366,6,9,30,43,13,364,
RD3,Poole Hospital NHS Foundation Trust,Q39,66,29,5,0,424,42,32,22,4,414,24,31,37,8,418,53,28,8,11,418,54,30,13,3,421,35,25,31,9,415,68,17,14,2,414,5,5,18,53,19,424,5,4,16,54,21,425,5,5,24,47,19,421,
RHU,Portsmouth Hospitals NHS Trust,Q38,85,11,3,1,448,65,19,14,2,443,49,22,19,9,443,71,11,8,11,448,70,17,10,2,447,54,20,18,8,443,85,8,7,1,449,4,8,23,49,16,451,5,6,15,53,21,455,5,7,25,47,16,450,
RHW,Royal Berkshire NHS Foundation Trust,Q38,58,28,13,2,403,45,39,14,3,392,27,32,33,8,390,72,18,5,5,403,60,26,12,2,396,39,21,33,7,390,78,8,11,3,391,8,4,20,50,18,408,8,4,16,50,22,404,7,5,21,49,18,399,
REF,Royal Cornwall Hospitals NHS Trust,Q39,86,10,4,0,394,72,18,9,1,384,54,29,12,5,386,87,9,2,2,392,81,13,4,1,387,47,16,31,6,385,74,10,14,2,385,4,8,26,50,12,392,5,9,18,52,16,390,5,8,31,44,12,390,
RH8,Royal Devon and Exeter NHS Foundation Trust,Q39,74,15,9,2,401,54,38,8,1,401,19,26,39,17,392,71,16,4,9,405,65,21,9,5,397,29,15,41,15,395,73,9,16,1,401,3,8,21,55,13,401,4,8,17,55,16,403,4,7,33,44,12,395,
RAL,Royal Free London NHS Foundation Trust,Q36,66,26,7,1,434,55,30,14,0,425,47,26,20,7,430,65,22,6,6,431,62,25,11,3,436,71,14,12,3,440,70,14,15,1,431,7,4,20,43,26,445,7,5,17,43,28,435,6,5,21,43,25,442,
RQ6,Royal Liverpool And Broadgreen University Hospitals NHS Trust,Q31,74,20,6,0,481,70,24,6,0,485,49,35,11,5,481,63,24,6,7,479,69,23,6,1,488,49,25,19,7,476,72,13,13,2,468,4,7,25,50,15,486,4,6,17,55,18,485,3,6,25,50,16,483,
RA2,Royal Surrey County Hospital NHS Foundation Trust,Q37,83,14,3,0,343,63,26,10,1,331,38,27,28,6,328,80,15,2,3,343,71,17,8,4,338,53,27,16,5,335,81,9,9,1,338,5,5,20,53,18,347,5,4,13,56,21,346,5,4,23,51,17,345,
RD1,Royal United Hospital Bath NHS Trust,Q39,67,27,5,1,455,58,31,10,1,446,35,25,28,12,439,61,28,4,7,449,72,22,5,1,449,38,23,29,10,441,68,18,12,2,442,6,5,20,54,15,453,5,4,17,55,18,447,5,6,28,45,14,446,
RM3,Salford Royal NHS Foundation Trust,Q31,91,7,2,0,486,85,11,4,0,481,41,28,21,10,472,83,9,2,6,487,83,11,5,1,482,53,18,25,5,479,83,6,9,1,476,6,5,14,49,26,486,5,4,11,49,31,486,6,4,15,47,28,486,
RNZ,Salisbury NHS Foundation Trust,Q39,80,15,4,1,435,71,21,7,1,430,28,18,41,13,428,85,10,2,2,435,68,21,7,3,435,46,23,23,8,430,78,11,10,1,429,6,6,28,46,14,438,6,5,18,54,17,439,6,5,26,50,14,431,
RXK,Sandwell And West Birmingham Hospitals NHS Trust,Q34,81,16,3,0,406,65,28,7,0,396,48,39,9,4,400,73,17,3,7,400,79,13,5,3,405,46,19,25,10,398,73,11,13,3,393,6,6,22,51,16,410,7,4,17,51,21,407,6,7,24,48,15,406,
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,Q32,65,23,11,1,407,39,30,29,2,401,30,37,26,7,403,63,19,7,11,409,51,30,14,5,404,37,21,33,9,395,70,15,14,1,401,3,7,21,54,14,406,3,6,16,56,19,409,2,8,26,49,14,405,
RK5,Sherwood forest Hospitals NHS Foundation Trust,Q33,69,16,12,3,413,46,22,27,4,399,43,23,22,11,408,67,14,8,11,414,86,9,3,2,413,49,17,28,6,407,78,9,12,1,411,6,5,19,51,19,416,7,3,12,56,22,415,6,6,23,47,18,413,
RXW,Shrewsbury And Telford Hospital NHS Trust,Q34,70,23,7,1,476,39,36,22,2,468,19,39,34,7,463,58,18,10,14,472,84,13,3,0,477,30,21,41,9,453,67,15,15,2,457,4,7,19,57,13,480,4,5,15,57,18,477,4,8,26,50,12,472,
RA9,South Devon Healthcare NHS Foundation Trust,Q39,75,16,7,1,467,63,28,9,0,461,21,25,41,12,449,64,17,8,11,464,78,13,7,2,464,33,15,40,12,449,69,15,14,1,458,4,5,20,53,17,471,4,4,17,56,19,467,3,6,27,48,16,462,
RYQ,South London Healthcare NHS Trust,Q36,64,25,10,1,307,47,32,20,2,301,29,31,33,6,299,63,21,10,6,305,62,24,12,2,305,39,21,31,9,297,63,13,22,2,293,5,8,20,48,20,304,5,7,15,50,22,304,5,7,23,45,20,303,
RTR,South Tees Hospitals NHS Foundation Trust,Q30,67,23,10,1,484,58,25,17,1,476,23,30,39,8,474,71,20,6,3,484,78,15,6,1,481,38,17,36,9,471,74,13,12,1,470,5,6,20,56,13,489,6,5,12,59,18,492,5,5,26,51,13,489,
RE9,South Tyneside NHS Foundation Trust,Q30,79,17,4,0,374,51,40,8,1,367,39,37,20,5,362,83,13,2,2,369,75,18,4,3,369,47,22,24,6,365,83,7,9,1,364,5,5,17,55,18,376,5,4,12,56,23,376,5,5,21,49,19,376,
RJC,South Warwickshire NHS Foundation Trust,Q34,77,18,5,0,482,62,28,9,1,479,42,41,13,4,477,77,12,4,7,478,75,19,4,2,476,46,20,28,6,474,80,11,9,0,466,4,6,16,57,17,477,5,4,11,57,24,475,4,6,20,54,17,473,
RAJ,Southend University Hospital NHS Foundation Trust,Q35,84,8,6,1,486,37,23,35,6,465,17,15,54,14,461,87,7,3,3,482,86,7,5,1,474,39,12,40,9,464,71,9,18,2,475,6,7,21,51,15,481,6,6,18,54,17,483,6,7,26,47,14,476,
RVY,Southport And Ormskirk Hospital NHS Trust,Q31,83,13,3,0,431,69,27,4,0,431,51,37,9,3,420,87,10,2,1,433,72,18,6,4,430,51,21,21,7,422,74,13,10,3,421,4,5,21,52,18,431,5,6,14,53,22,431,4,6,25,48,17,429,
RJ7,St George's Healthcare NHS Trust,Q36,69,22,8,1,303,55,25,19,1,302,33,31,32,5,301,63,20,13,5,301,57,28,14,1,303,57,18,20,5,300,75,12,13,1,303,6,6,18,50,21,301,7,7,11,52,23,304,5,5,21,48,21,302,
RBN,St Helens And Knowsley Hospitals NHS Trust,Q31,79,14,6,0,408,42,27,27,4,391,22,21,44,13,391,72,11,8,9,402,64,19,13,4,393,42,17,32,9,394,62,14,20,4,397,5,4,20,46,25,409,6,3,15,52,23,407,6,5,26,42,21,403,
RWJ,Stockport NHS Foundation Trust,Q31,77,18,5,1,393,61,31,8,1,397,25,35,30,10,386,72,19,4,5,395,68,21,6,5,393,52,21,21,7,384,80,11,8,1,388,6,5,17,51,21,399,5,4,14,53,24,389,5,5,21,49,20,390,
RTP,Surrey And Sussex Healthcare NHS Trust,Q37,73,19,6,1,462,60,21,17,2,452,37,19,35,8,449,72,17,7,4,464,63,23,11,3,456,56,14,23,6,447,71,12,14,2,452,7,6,17,52,18,466,7,5,13,57,18,460,7,7,18,51,17,461,
RMP,Tameside Hospital NHS Foundation Trust,Q31,70,22,8,1,393,44,31,22,3,383,41,28,22,9,383,63,22,8,7,393,63,23,11,3,390,46,22,24,8,381,68,18,12,2,382,5,4,21,50,20,394,6,4,16,52,22,389,5,6,22,46,21,390,
RBA,Taunton and Somerset NHS Foundation Trust,Q39,61,32,6,1,433,32,33,32,3,413,18,32,38,11,421,57,25,7,12,424,57,29,11,2,423,39,22,32,8,422,74,15,10,0,419,4,6,21,53,16,437,4,5,18,53,19,431,2,8,27,47,15,428,
RNA,The Dudley Group NHS Foundation Trust,Q34,59,32,9,1,294,53,38,9,0,295,34,36,20,10,293,68,25,3,4,296,80,16,4,1,296,31,23,33,12,294,78,12,10,0,289,5,6,25,53,12,298,5,7,17,57,14,298,5,6,29,48,12,296,
RAS,The Hillingdon Hospitals NHS Foundation Trust,Q36,64,30,5,1,322,50,42,7,1,319,35,37,21,6,313,66,24,6,5,317,69,22,7,2,320,46,24,24,7,313,70,14,14,2,309,7,4,24,50,14,325,8,4,17,54,17,319,8,3,26,49,14,320,
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Q30,83,13,3,0,441,80,17,3,0,439,55,20,15,10,432,92,7,1,1,439,86,10,3,2,435,54,14,23,8,428,81,8,11,0,435,6,8,23,47,17,439,7,5,13,54,21,441,6,7,27,44,17,433,
RQW,The Princess Alexandra Hospital NHS Trust,Q35,82,14,4,0,420,47,23,26,3,408,28,47,20,4,407,82,15,2,2,419,84,10,4,2,421,61,15,16,9,410,69,12,16,2,409,5,5,24,51,15,422,6,4,16,53,21,422,4,5,28,46,16,419,
RCX,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Q35,85,13,2,0,439,72,24,3,1,438,48,22,18,12,431,76,15,3,6,437,90,7,2,1,440,53,14,23,10,426,75,11,11,2,426,5,7,21,50,18,434,5,3,15,54,23,437,4,6,26,48,15,431,
RFR,The Rotherham NHS Foundation Trust,Q32,75,18,5,2,257,66,26,7,1,258,49,33,13,5,257,78,14,3,5,260,77,18,4,2,256,39,18,34,9,256,73,13,11,2,256,7,4,23,46,20,259,5,3,12,56,23,262,6,7,24,46,16,258,
RDZ,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,Q39,78,19,3,0,470,55,33,11,1,469,39,36,21,5,462,76,17,3,5,470,67,23,7,2,467,44,21,28,7,460,74,11,13,2,457,5,4,19,51,20,468,4,4,16,52,24,468,4,5,25,44,21,467,
RL4,The Royal Wolverhampton Hospitals NHS Trust,Q34,80,14,5,0,369,53,27,17,3,357,51,26,20,3,358,94,4,1,0,374,78,15,4,3,367,52,20,19,9,359,79,9,9,3,356,5,4,24,52,15,370,7,4,15,58,17,373,5,5,27,49,15,366,
RKE,The Whittington Hospital NHS Trust,Q36,80,18,2,0,249,73,20,7,0,246,57,24,12,7,245,77,19,2,2,247,84,11,4,2,246,52,19,21,8,244,83,8,9,1,240,4,7,17,53,19,244,5,5,13,52,26,244,4,9,21,48,18,240,
RWD,United Lincolnshire Hospitals NHS Trust,Q33,61,24,14,1,382,40,27,31,3,380,21,21,52,6,378,67,18,10,5,387,50,26,22,2,381,35,24,36,5,376,69,14,17,1,384,4,4,28,47,17,383,4,6,16,55,19,381,5,5,32,44,15,381,
RRV,University College London Hospitals NHS Foundation Trust,Q36,71,21,6,2,378,58,29,11,1,378,45,26,23,6,384,69,15,5,10,382,71,22,6,1,381,52,19,21,7,382,77,11,11,1,382,4,5,20,49,21,383,6,6,16,52,20,382,5,4,21,47,23,384,
RJE,University Hospital Of North Staffordshire NHS Trust,Q34,77,17,6,0,392,67,23,10,0,393,32,34,27,7,382,73,15,6,5,395,59,23,14,3,387,42,18,30,10,382,71,14,12,2,386,7,6,20,51,17,390,7,5,16,52,20,392,6,8,25,44,18,392,
RM2,University Hospital of South Manchester NHS Foundation Trust,Q31,77,18,5,0,283,48,27,23,2,273,22,27,41,10,271,88,8,2,2,282,74,19,5,2,279,37,18,38,7,270,73,9,15,3,280,5,7,22,51,15,280,5,5,12,60,18,279,4,6,27,49,14,275,
RHM,University Hospital Southampton NHS Foundation Trust,Q38,79,16,5,0,463,60,24,14,2,457,39,27,27,6,456,83,13,2,2,462,74,19,6,1,461,52,26,17,5,459,83,10,6,1,456,4,6,23,52,15,462,4,4,14,58,19,463,4,6,25,49,16,464,
RRK,University Hospitals Birmingham NHS Foundation Trust,Q34,73,15,10,3,388,57,28,13,2,382,34,22,32,12,384,86,7,3,4,391,92,6,2,1,389,45,17,30,9,388,77,9,13,2,389,4,5,19,46,26,390,5,4,13,50,28,391,5,5,17,49,23,390,
RA7,University Hospitals Bristol NHS Foundation Trust,Q39,64,33,3,1,452,50,37,11,2,446,45,44,7,4,453,54,38,3,6,452,59,30,8,3,450,46,23,23,9,447,73,15,10,2,445,3,7,23,48,19,449,5,6,15,51,23,450,3,8,25,42,21,449,
RKB,University Hospitals Coventry And Warwickshire NHS Trust,Q34,78,21,1,0,326,53,40,6,1,323,39,30,21,10,319,77,18,2,3,326,74,20,5,1,324,41,20,30,10,316,75,12,13,1,314,5,5,19,51,19,329,6,4,12,56,22,325,5,5,26,48,17,322,
RWE,University Hospitals Of Leicester NHS Trust,Q33,73,18,7,2,400,58,25,16,2,387,31,33,31,5,387,75,12,6,7,399,84,11,5,1,402,40,18,33,8,388,73,11,15,1,392,6,6,22,46,19,400,7,7,12,51,23,396,5,9,23,44,19,394,
RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,Q31,67,22,10,0,408,49,32,18,1,406,43,36,14,6,408,79,12,6,4,412,72,15,10,3,407,47,12,34,7,396,75,10,14,1,403,4,9,21,52,13,412,6,7,18,53,16,412,5,10,24,49,12,411,
RBK,Walsall Healthcare NHS Trust,Q34,89,8,3,0,446,85,11,3,1,439,65,18,13,3,428,75,9,6,10,436,84,10,5,1,439,72,12,13,4,430,78,10,11,1,431,8,6,24,48,14,446,10,5,14,53,19,442,8,6,25,46,15,436,
RWW,Warrington and Halton Hospitals NHS Foundation Trust,Q31,53,43,4,0,362,41,48,9,1,360,22,44,23,11,356,59,28,6,7,363,59,27,9,5,362,34,35,19,12,348,69,20,10,1,355,5,6,25,50,14,367,5,7,16,53,19,368,4,7,27,45,16,365,
RWG,West Hertfordshire Hospitals NHS Trust,Q35,83,13,3,1,319,50,22,22,6,306,42,22,29,7,308,77,16,3,4,315,77,17,3,3,314,45,16,29,10,307,70,10,16,4,310,5,4,21,49,20,316,6,5,18,48,23,318,6,6,26,43,19,315,
RFW,West Middlesex University Hospital NHS Trust,Q36,59,27,12,2,306,50,34,14,2,304,21,28,46,5,293,77,18,3,2,314,83,12,4,1,309,37,24,31,8,298,68,13,16,3,297,7,6,20,49,19,318,7,5,13,54,22,316,7,4,24,45,20,309,
RGR,West Suffolk NHS Foundation Trust,Q35,82,13,5,0,421,50,24,23,2,414,46,28,20,5,418,68,17,7,9,423,60,23,12,6,417,47,20,23,10,417,79,10,10,1,420,5,5,21,50,20,425,5,4,14,55,21,422,4,5,26,49,16,420,
RYR,Western Sussex Hospitals NHS Trust,Q37,92,5,2,0,387,72,18,9,1,381,29,19,42,10,375,88,8,2,3,385,87,7,4,2,384,54,10,28,7,372,69,10,17,4,375,4,5,22,50,19,383,3,4,19,52,22,384,3,6,25,49,18,382,
RA3,Weston Area Health NHS Trust,Q39,80,18,2,0,390,58,37,5,1,386,33,39,19,9,379,76,17,2,5,386,73,21,4,2,384,38,17,38,7,374,67,13,17,2,375,6,5,25,53,12,391,6,2,15,59,18,389,5,5,28,50,12,386,
RBL,Wirral University Teaching Hospital NHS Foundation Trust,Q31,67,28,5,1,346,44,48,7,1,335,27,47,17,9,335,64,29,4,4,343,71,24,4,2,342,35,26,30,8,336,58,17,23,2,334,5,6,20,56,14,344,5,6,14,58,16,341,5,7,23,54,12,338,
RWP,Worcestershire Acute Hospitals NHS Trust,Q34,72,17,10,1,364,49,21,29,2,354,43,24,29,4,356,75,13,7,4,366,69,16,11,3,360,50,18,26,6,356,70,12,16,1,358,3,7,22,52,16,365,3,6,16,56,18,363,3,9,25,48,15,359,
RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",Q31,73,15,10,2,366,73,16,9,2,359,53,18,23,6,355,79,11,6,4,362,79,10,7,3,364,59,16,20,6,359,74,8,16,2,355,4,7,26,47,16,366,6,5,15,54,20,363,4,6,27,45,17,357,
RLQ,Wye Valley NHS Trust,Q34,74,23,3,0,351,38,34,27,1,340,29,32,33,6,350,75,16,4,5,352,60,30,9,1,348,38,23,34,5,340,76,12,11,1,346,4,5,20,57,14,351,4,3,11,61,21,349,4,4,26,52,15,349,
RA4,Yeovil District Hospital NHS Foundation Trust,Q39,66,26,7,1,372,34,33,30,3,358,25,29,40,7,356,73,20,5,2,372,56,26,14,3,366,41,31,21,7,362,70,12,15,2,358,5,5,23,48,19,368,5,3,19,52,21,366,5,6,28,43,19,364,
RCB,York Teaching Hospital NHS Foundation Trust,Q32,72,21,6,1,428,43,37,18,1,416,30,32,28,10,414,65,22,7,6,426,64,26,7,3,424,37,18,36,9,409,73,17,9,1,421,6,6,23,51,13,424,7,5,18,55,16,421,6,8,22,49,15,417,
,ALL AMBULANCE TRUSTS,--,52,33,15,1,"3,639",45,35,19,1,"3,626",33,37,21,8,"3,625",51,32,11,7,"3,636",58,28,12,2,"3,636",39,27,26,7,"3,618",69,16,14,1,"3,639",5,9,22,51,13,"3,674",6,9,20,53,12,"3,652",6,11,29,43,11,"3,638",
RX9,East Midlands Ambulance Service NHS Trust,Q33,62,29,9,0,286,66,28,6,0,287,44,30,17,9,289,70,23,3,3,290,71,23,4,2,289,62,18,13,7,287,73,14,12,1,286,5,9,20,53,12,292,7,10,16,54,13,289,8,10,30,42,10,289,
RYC,East Of England Ambulance Service NHS Trust,Q35,49,29,21,1,393,50,32,17,1,393,48,23,21,8,394,62,21,9,9,396,61,24,13,3,396,48,21,22,9,395,64,14,21,1,396,8,14,25,44,8,399,9,13,22,46,10,397,9,15,33,37,6,395,
RX5,Great Western Ambulance Service NHS Trust,Q39,46,33,21,0,240,39,33,28,0,241,31,34,23,13,240,51,26,13,10,241,40,32,24,3,241,37,25,30,8,240,70,13,17,0,239,3,6,23,54,14,240,4,7,17,58,13,241,4,6,24,54,12,238,
R1F2,Isle of Wight NHS Primary Care Trust (ambulance sector),Q38,63,29,8,0,72,51,27,21,1,71,20,43,31,6,70,65,27,7,1,71,63,28,8,0,71,38,32,28,1,71,85,6,8,1,72,5,6,22,55,12,74,2,5,17,68,9,74,3,11,30,44,13,73,
RRU,London Ambulance Service NHS Trust,Q36,29,50,20,1,311,17,54,30,0,311,7,50,35,8,307,40,39,14,7,312,52,31,16,2,314,20,35,37,8,311,59,24,16,0,316,2,11,22,50,15,316,5,14,21,46,13,315,3,14,32,40,10,312,
RX6,North East Ambulance Service NHS Foundation Trust,Q30,89,8,3,1,315,83,11,6,0,315,57,17,17,10,313,80,12,3,5,314,87,8,3,1,315,59,13,22,6,313,80,8,11,1,315,6,9,24,49,12,316,6,8,17,55,14,314,8,12,29,40,11,312,
RX7,North West Ambulance Service NHS Trust,Q31,27,54,16,3,263,21,54,22,3,263,14,56,19,10,263,27,48,12,13,260,32,44,19,5,264,24,38,27,11,266,56,28,15,2,266,5,6,17,53,18,269,5,7,20,52,17,261,6,7,24,46,16,264,
RYE,South Central Ambulance Service NHS Foundation Trust,Q38,41,39,18,2,235,23,42,33,2,232,12,48,31,9,233,31,46,18,5,233,56,29,13,2,233,27,36,32,5,232,65,18,15,2,234,5,6,23,51,15,237,6,9,23,49,12,237,6,11,25,46,11,235,
RYD,South East Coast Ambulance Service NHS Foundation Trust,Q37,70,18,12,0,381,70,17,12,0,378,64,16,15,5,379,57,28,12,3,379,80,14,5,1,378,49,20,27,3,377,70,14,15,1,376,6,17,28,41,7,383,7,14,21,51,7,383,7,20,32,34,7,381,
RYF,South Western Ambulance Service NHS Foundation Trust,Q39,54,34,11,1,356,59,35,6,0,357,17,60,14,8,355,39,40,10,11,355,72,22,5,1,356,42,32,20,6,354,76,13,11,0,355,2,5,21,60,12,357,2,4,22,60,13,356,2,5,29,52,12,355,
RYA,West Midlands Ambulance Service NHS Trust,Q34,49,36,15,0,323,33,41,25,1,316,50,33,12,5,321,53,35,8,5,320,42,41,15,3,319,41,26,27,6,316,69,21,9,1,320,8,7,20,51,15,326,8,8,21,52,12,323,7,7,27,47,12,323,
RX8,Yorkshire Ambulance Service NHS Trust,Q32,44,35,20,2,464,31,45,22,2,462,36,32,20,11,461,37,37,18,8,465,35,40,19,6,460,26,34,32,9,456,60,17,21,2,464,6,14,23,45,12,465,7,15,22,45,11,462,6,15,31,38,10,461,
,ALL MENTAL HEALTH/LEARNING DISABILITY TRUSTS,--,72,23,5,1,"22,801",59,33,8,1,"22,679",50,28,13,9,"22,529",69,20,5,7,"22,790",74,19,5,2,"22,722",44,20,26,10,"22,269",79,11,9,1,"22,377",6,6,19,51,18,"22,924",6,4,14,54,21,"22,881",5,6,24,47,18,"22,724",
RTQ,2Gether NHS Foundation Trust,Q39,73,22,4,1,366,37,43,17,3,362,62,17,8,13,363,71,18,2,9,368,66,25,7,2,368,35,20,35,11,359,77,10,12,2,355,5,10,27,43,16,364,7,8,17,50,17,369,5,11,31,38,15,360,
RTV,5 Boroughs Partnership NHS Foundation Trust,Q31,71,25,3,1,404,61,35,4,1,398,59,31,6,4,395,78,18,2,1,402,73,20,4,2,401,48,24,20,8,399,84,8,6,2,398,5,6,18,52,19,408,5,4,13,57,21,399,5,5,21,51,18,400,
RVN,Avon And Wiltshire Mental Health Partnership NHS Trust,Q39,65,29,5,1,439,53,39,7,1,437,43,40,6,11,432,50,32,5,12,438,53,33,11,3,433,38,21,30,11,426,77,14,8,1,433,5,5,19,53,18,445,4,5,19,50,22,442,4,5,26,47,18,434,
